Date,Sender,Subject
2018-12-17 18:08:47,"""eBags"" <ebags@email.ebags.com>",ONE WEEK UNTIL THE BIG DAY =?UTF-8?Q?=F0=9F=8E=84?=
2018-12-17 18:39:22,=?utf-8?Q?Mike=20from=20Stacked?= <mike@muscleforlife.com>,=?utf-8?Q?Are=20you=20making=20these=20weightlifting=20mistakes=3F?=
2018-12-17 18:49:42,Netflix <info@mailer.netflix.com>,New sign-in to your account
2018-12-17 19:02:16,"""Sonic Drive-In"" <no-reply@sonicdrivein.com>",=?UTF-8?B?R2V0IDEvMiBQcmljZSBCb25lbGVzcyBXaW5ncyBXaGVuIFlvdSBTaWduIHVwIGZvciBUZXh0cyDwn5mM?=
2018-12-17 14:09:50,"""The Agenda"" <info@victoryfund.org>","=?utf-8?B?V2hhdCBkbyBEYW5pY2EgUm9lbSwgSm9saWXCoEp1c3R1cyBhbmQg?=
	=?utf-8?B?TG9yaSBMaWdodGZvb3QgaGF2ZSBpbiBjb21tb24/?="
2018-12-17 19:11:25,LinkedIn <messages-noreply@linkedin.com>,"John, people are looking at your LinkedIn profile"
2018-12-17 19:36:53,Keith <baohblue@hotmail.com>,Re: Third Friday Bridge
2018-12-17 19:40:12,"""Chontofalsky, David"" <david.chontofalsky@vumc.org>",RE: Third Friday Bridge
2018-12-17 20:02:18,guest.services@shopDisney.com,Your shopDisney order is on its way!
2018-12-17 14:58:30,"""Morning Consult"" <reply@e.morningconsult.com>",Health Afternoon Update: Senate Health Committee Chairman Alexander to Retire
2018-12-17 21:02:08,"""UAB Athletics "" <UABathletics@paciolanmail.com>",Make A Year-End Commitment through IGNITE
2018-12-17 21:05:27,=?utf-8?Q?NextDraft?= <dave@davenetics.com>,=?utf-8?Q?Steam=20Punks?=
2018-12-17 21:51:44,CFE Arena Cyber Club <cfearena@engage.ticketmaster.com>,This Week at Light Up UCF: Last Holiday Market and More...
2018-12-17 22:13:04,=?UTF-8?Q?John_=22Rhett=22=E2=80=8B_Wilmot?= <invitations@linkedin.com>,"Hi John, please add me to your LinkedIn network"
2018-12-17 14:26:09,Wish <offers@wish.com>,"=?UTF-8?q?A_secret_light_bulb_camera=3F_50%_factory_discounts_on_Security?=
 =?UTF-8?q?_and_Spy_Cameras_=F0=9F=95=B5=EF=B8=8F?="
2018-12-18 00:03:47,"""Build.com Network"" <info@em.build.com>","=?utf-8?B?SW52aXRlIGVuY2xvc2VkLiBZb3UgbA==?=
 =?utf-8?B?dWNrZWQgb3V0IHdpdGggVEhJUzogWQ==?=
 =?utf-8?B?b3XigJlyZSB0aGUgcmVhbCBWSVA=?="
2018-12-17 16:24:48,"""Express"" <express@em.express.com>",Final hours for standard shipping by 12/25 =?utf-8?Q?=F0=9F=8E=84?= + New deals just added!
2018-12-18 00:14:02,"""eBags"" <ebags@email.ebags.com>","ENDS TONIGHT =?UTF-8?Q?=E2=9C=A8=20=34=30=25=20Off=20Gifts=20That=20Belon?=
 =?UTF-8?Q?g=20Under=20The=20Tree?="
2018-12-17 19:01:09,"""Rue La La"" <RueLaLa@communication.ruelala.com>",12 HOURS ONLY + Final Call for Standard Holiday Shipping. Milk it.
2018-12-18 01:47:14,LinkedIn <notifications-noreply@linkedin.com>,"Congratulate Nimit Aggarwal, MD, FCCP and 8 others for starting new
 positions"
2018-12-17 18:03:34,Wish <offers@wish.com>,"Weekly December Clearance: Punching Bag, Giant Mouse Pad, Flying
 Globe, ..."
